Player,variable,deciles,type_variable
R. Vargas,Long passes per 90,53,Buildup
R. Vargas,Shots per 90,72,Positioning
R. Vargas,Touches in box per 90,77,Chance creation
R. Vargas,Progressive runs per 90,63,Buildup
R. Vargas,Dribbles per 90,79,Chance creation
R. Vargas,Back passes per 90,74,Positioning
R. Vargas,Interceptions per 90,88,Defense
R. Vargas,Shots blocked per 90,53,Defense
R. Vargas,Fouls per 90,70,Defense
A. Maier,Passes to final third per 90,56,Buildup
A. Maier,Progressive passes per 90,60,Buildup
A. Maier,Lateral passes per 90,69,Positioning
A. Maier,Long passes per 90,75,Buildup
A. Maier,Shots per 90,12,Positioning
A. Maier,Touches in box per 90,10,Chance creation
A. Maier,Progressive runs per 90,36,Buildup
A. Maier,Dribbles per 90,9,Chance creation
A. Maier,Back passes per 90,58,Positioning
A. Maier,Interceptions per 90,93,Defense
A. Maier,Shots blocked per 90,92,Defense
A. Maier,Fouls per 90,1,Defense
S. Kolašinac,Passes to final third per 90,48,Buildup
S. Kolašinac,Progressive passes per 90,81,Buildup
S. Kolašinac,Lateral passes per 90,66,Positioning
S. Kolašinac,Long passes per 90,83,Buildup
S. Kolašinac,Shots per 90,2,Positioning
S. Kolašinac,Touches in box per 90,22,Chance creation
S. Kolašinac,Progressive runs per 90,39,Buildup
S. Kolašinac,Dribbles per 90,14,Chance creation
S. Kolašinac,Back passes per 90,50,Positioning
S. Kolašinac,Interceptions per 90,75,Defense
S. Kolašinac,Shots blocked per 90,82,Defense
S. Kolašinac,Fouls per 90,52,Defense
M. Ingvartsen,Passes to final third per 90,10,Buildup
M. Ingvartsen,Progressive passes per 90,23,Buildup
M. Ingvartsen,Lateral passes per 90,1,Positioning
M. Ingvartsen,Long passes per 90,17,Buildup
M. Ingvartsen,Shots per 90,52,Positioning
M. Ingvartsen,Touches in box per 90,23,Chance creation
M. Ingvartsen,Progressive runs per 90,7,Buildup
M. Ingvartsen,Dribbles per 90,25,Chance creation
M. Ingvartsen,Back passes per 90,54,Positioning
M. Ingvartsen,Interceptions per 90,78,Defense
M. Ingvartsen,Shots blocked per 90,22,Defense
M. Ingvartsen,Fouls per 90,96,Defense
H. Wolf,Passes to final third per 90,43,Buildup
H. Wolf,Progressive passes per 90,14,Buildup
H. Wolf,Lateral passes per 90,21,Positioning
H. Wolf,Long passes per 90,7,Buildup
H. Wolf,Shots per 90,23,Positioning
H. Wolf,Touches in box per 90,77,Chance creation
H. Wolf,Progressive runs per 90,43,Buildup
H. Wolf,Dribbles per 90,53,Chance creation
H. Wolf,Back passes per 90,74,Positioning
H. Wolf,Interceptions per 90,42,Defense
H. Wolf,Shots blocked per 90,63,Defense
H. Wolf,Fouls per 90,98,Defense
M. Dabbur,Passes to final third per 90,25,Buildup
M. Dabbur,Progressive passes per 90,42,Buildup
M. Dabbur,Lateral passes per 90,16,Positioning
M. Dabbur,Long passes per 90,28,Buildup
M. Dabbur,Shots per 90,87,Positioning
M. Dabbur,Touches in box per 90,88,Chance creation
M. Dabbur,Progressive runs per 90,13,Buildup
M. Dabbur,Dribbles per 90,77,Chance creation
M. Dabbur,Back passes per 90,12,Positioning
M. Dabbur,Interceptions per 90,16,Defense
M. Dabbur,Shots blocked per 90,43,Defense
M. Dabbur,Fouls per 90,90,Defense
M. Uth,Passes to final third per 90,30,Buildup
M. Uth,Progressive passes per 90,16,Buildup
M. Uth,Lateral passes per 90,36,Positioning
M. Uth,Long passes per 90,47,Buildup
M. Uth,Shots per 90,76,Positioning
M. Uth,Touches in box per 90,36,Chance creation
M. Uth,Progressive runs per 90,55,Buildup
M. Uth,Dribbles per 90,62,Chance creation
M. Uth,Back passes per 90,34,Positioning
M. Uth,Interceptions per 90,35,Defense
M. Uth,Shots blocked per 90,1,Defense
M. Uth,Fouls per 90,87,Defense
L. Stindl,Passes to final third per 90,58,Buildup
L. Stindl,Progressive passes per 90,65,Buildup
L. Stindl,Lateral passes per 90,82,Positioning
L. Stindl,Long passes per 90,58,Buildup
L. Stindl,Shots per 90,88,Positioning
L. Stindl,Touches in box per 90,52,Chance creation
L. Stindl,Progressive runs per 90,4,Buildup
L. Stindl,Dribbles per 90,3,Chance creation
L. Stindl,Back passes per 90,95,Positioning
L. Stindl,Interceptions per 90,34,Defense
L. Stindl,Shots blocked per 90,66,Defense
L. Stindl,Fouls per 90,93,Defense
M. Pedersen,Passes to final third per 90,36,Buildup
M. Pedersen,Progressive passes per 90,61,Buildup
M. Pedersen,Lateral passes per 90,28,Positioning
M. Pedersen,Long passes per 90,94,Buildup
M. Pedersen,Shots per 90,1,Positioning
M. Pedersen,Touches in box per 90,1,Chance creation
M. Pedersen,Progressive runs per 90,75,Buildup
M. Pedersen,Dribbles per 90,66,Chance creation
M. Pedersen,Back passes per 90,17,Positioning
M. Pedersen,Interceptions per 90,100,Defense
M. Pedersen,Shots blocked per 90,85,Defense
M. Pedersen,Fouls per 90,83,Defense
P. Förster,Passes to final third per 90,66,Buildup
P. Förster,Progressive passes per 90,81,Buildup
P. Förster,Lateral passes per 90,63,Positioning
P. Förster,Long passes per 90,5,Buildup
P. Förster,Shots per 90,32,Positioning
P. Förster,Touches in box per 90,82,Chance creation
P. Förster,Progressive runs per 90,98,Buildup
P. Förster,Dribbles per 90,44,Chance creation
P. Förster,Back passes per 90,69,Positioning
P. Förster,Interceptions per 90,30,Defense
P. Förster,Shots blocked per 90,60,Defense
P. Förster,Fouls per 90,77,Defense
P. Herrmann,Passes to final third per 90,7,Buildup
P. Herrmann,Progressive passes per 90,40,Buildup
P. Herrmann,Lateral passes per 90,36,Positioning
P. Herrmann,Long passes per 90,69,Buildup
P. Herrmann,Shots per 90,68,Positioning
P. Herrmann,Touches in box per 90,88,Chance creation
P. Herrmann,Progressive runs per 90,22,Buildup
P. Herrmann,Dribbles per 90,24,Chance creation
P. Herrmann,Back passes per 90,58,Positioning
P. Herrmann,Interceptions per 90,77,Defense
P. Herrmann,Shots blocked per 90,1,Defense
P. Herrmann,Fouls per 90,70,Defense
A. Schöpf,Passes to final third per 90,6,Buildup
A. Schöpf,Progressive passes per 90,3,Buildup
A. Schöpf,Lateral passes per 90,16,Positioning
A. Schöpf,Long passes per 90,8,Buildup
A. Schöpf,Shots per 90,21,Positioning
A. Schöpf,Touches in box per 90,17,Chance creation
A. Schöpf,Progressive runs per 90,28,Buildup
A. Schöpf,Dribbles per 90,44,Chance creation
A. Schöpf,Back passes per 90,75,Positioning
A. Schöpf,Interceptions per 90,85,Defense
A. Schöpf,Shots blocked per 90,49,Defense
A. Schöpf,Fouls per 90,50,Defense
J. Boëtius,Passes to final third per 90,78,Buildup
J. Boëtius,Progressive passes per 90,87,Buildup
J. Boëtius,Lateral passes per 90,54,Positioning
J. Boëtius,Long passes per 90,69,Buildup
J. Boëtius,Shots per 90,28,Positioning
J. Boëtius,Touches in box per 90,38,Chance creation
J. Boëtius,Progressive runs per 90,29,Buildup
J. Boëtius,Dribbles per 90,31,Chance creation
J. Boëtius,Back passes per 90,16,Positioning
J. Boëtius,Interceptions per 90,75,Defense
J. Boëtius,Shots blocked per 90,44,Defense
J. Boëtius,Fouls per 90,58,Defense
M. Hartel,Passes to final third per 90,72,Buildup
M. Hartel,Progressive passes per 90,58,Buildup
M. Hartel,Lateral passes per 90,65,Positioning
M. Hartel,Long passes per 90,70,Buildup
M. Hartel,Shots per 90,17,Positioning
M. Hartel,Touches in box per 90,3,Chance creation
M. Hartel,Progressive runs per 90,8,Buildup
M. Hartel,Dribbles per 90,21,Chance creation
M. Hartel,Back passes per 90,62,Positioning
M. Hartel,Interceptions per 90,84,Defense
M. Hartel,Shots blocked per 90,87,Defense
M. Hartel,Fouls per 90,3,Defense
A. Barkok,Passes to final third per 90,60,Buildup
A. Barkok,Progressive passes per 90,75,Buildup
A. Barkok,Lateral passes per 90,64,Positioning
A. Barkok,Long passes per 90,19,Buildup
A. Barkok,Shots per 90,58,Positioning
A. Barkok,Touches in box per 90,52,Chance creation
A. Barkok,Progressive runs per 90,69,Buildup
A. Barkok,Dribbles per 90,74,Chance creation
A. Barkok,Back passes per 90,66,Positioning
A. Barkok,Interceptions per 90,60,Defense
A. Barkok,Shots blocked per 90,79,Defense
A. Barkok,Fouls per 90,93,Defense
R. Steffen,Passes to final third per 90,37,Buildup
R. Steffen,Progressive passes per 90,67,Buildup
R. Steffen,Lateral passes per 90,66,Positioning
R. Steffen,Long passes per 90,69,Buildup
R. Steffen,Shots per 90,58,Positioning
R. Steffen,Touches in box per 90,72,Chance creation
R. Steffen,Progressive runs per 90,38,Buildup
R. Steffen,Dribbles per 90,17,Chance creation
R. Steffen,Back passes per 90,67,Positioning
R. Steffen,Interceptions per 90,89,Defense
R. Steffen,Shots blocked per 90,60,Defense
R. Steffen,Fouls per 90,93,Defense
M. Klimowicz,Passes to final third per 90,23,Buildup
M. Klimowicz,Progressive passes per 90,2,Buildup
M. Klimowicz,Lateral passes per 90,5,Positioning
M. Klimowicz,Long passes per 90,20,Buildup
M. Klimowicz,Shots per 90,91,Positioning
M. Klimowicz,Touches in box per 90,77,Chance creation
M. Klimowicz,Progressive runs per 90,72,Buildup
M. Klimowicz,Dribbles per 90,74,Chance creation
