Player,variable,deciles,type_variable
Lucas Pérez,Long passes per 90,13,Buildup
Lucas Pérez,Shots per 90,25,Positioning
Lucas Pérez,Touches in box per 90,51,Chance creation
Lucas Pérez,Progressive runs per 90,5,Buildup
Lucas Pérez,Dribbles per 90,8,Chance creation
Lucas Pérez,Back passes per 90,21,Positioning
Lucas Pérez,Interceptions per 90,1,Defense
Lucas Pérez,Shots blocked per 90,40,Defense
Lucas Pérez,Fouls per 90,4,Defense
Óscar Melendo,Passes to final third per 90,89,Buildup
Óscar Melendo,Progressive passes per 90,52,Buildup
Óscar Melendo,Lateral passes per 90,82,Positioning
Óscar Melendo,Long passes per 90,81,Buildup
Óscar Melendo,Shots per 90,6,Positioning
Óscar Melendo,Touches in box per 90,5,Chance creation
Óscar Melendo,Progressive runs per 90,7,Buildup
Óscar Melendo,Dribbles per 90,28,Chance creation
Óscar Melendo,Back passes per 90,60,Positioning
Óscar Melendo,Interceptions per 90,16,Defense
Óscar Melendo,Shots blocked per 90,8,Defense
Óscar Melendo,Fouls per 90,25,Defense
D. Brašanac,Passes to final third per 90,36,Buildup
D. Brašanac,Progressive passes per 90,19,Buildup
D. Brašanac,Lateral passes per 90,27,Positioning
D. Brašanac,Long passes per 90,13,Buildup
D. Brašanac,Shots per 90,6,Positioning
D. Brašanac,Touches in box per 90,70,Chance creation
D. Brašanac,Progressive runs per 90,9,Buildup
D. Brašanac,Dribbles per 90,25,Chance creation
D. Brašanac,Back passes per 90,48,Positioning
D. Brašanac,Interceptions per 90,66,Defense
D. Brašanac,Shots blocked per 90,98,Defense
D. Brašanac,Fouls per 90,92,Defense
Salvi Sánchez,Passes to final third per 90,4,Buildup
Salvi Sánchez,Progressive passes per 90,18,Buildup
Salvi Sánchez,Lateral passes per 90,4,Positioning
Salvi Sánchez,Long passes per 90,48,Buildup
Salvi Sánchez,Shots per 90,29,Positioning
Salvi Sánchez,Touches in box per 90,42,Chance creation
Salvi Sánchez,Progressive runs per 90,32,Buildup
Salvi Sánchez,Dribbles per 90,27,Chance creation
Salvi Sánchez,Back passes per 90,8,Positioning
Salvi Sánchez,Interceptions per 90,51,Defense
Salvi Sánchez,Shots blocked per 90,64,Defense
Salvi Sánchez,Fouls per 90,11,Defense
Dani Rodríguez,Passes to final third per 90,23,Buildup
Dani Rodríguez,Progressive passes per 90,11,Buildup
Dani Rodríguez,Lateral passes per 90,6,Positioning
Dani Rodríguez,Long passes per 90,43,Buildup
Dani Rodríguez,Shots per 90,32,Positioning
Dani Rodríguez,Touches in box per 90,43,Chance creation
Dani Rodríguez,Progressive runs per 90,40,Buildup
Dani Rodríguez,Dribbles per 90,65,Chance creation
Dani Rodríguez,Back passes per 90,13,Positioning
Dani Rodríguez,Interceptions per 90,55,Defense
Dani Rodríguez,Shots blocked per 90,34,Defense
Dani Rodríguez,Fouls per 90,95,Defense
Fidel,Passes to final third per 90,73,Buildup
Fidel,Progressive passes per 90,85,Buildup
Fidel,Lateral passes per 90,46,Positioning
Fidel,Long passes per 90,71,Buildup
Fidel,Shots per 90,7,Positioning
Fidel,Touches in box per 90,24,Chance creation
Fidel,Progressive runs per 90,54,Buildup
Fidel,Dribbles per 90,72,Chance creation
Fidel,Back passes per 90,54,Positioning
Fidel,Interceptions per 90,18,Defense
Fidel,Shots blocked per 90,23,Defense
Fidel,Fouls per 90,35,Defense
Javi Martínez,Passes to final third per 90,40,Buildup
Javi Martínez,Progressive passes per 90,86,Buildup
Javi Martínez,Lateral passes per 90,59,Positioning
Javi Martínez,Long passes per 90,40,Buildup
Javi Martínez,Shots per 90,9,Positioning
Javi Martínez,Touches in box per 90,63,Chance creation
Javi Martínez,Progressive runs per 90,25,Buildup
Javi Martínez,Dribbles per 90,20,Chance creation
Javi Martínez,Back passes per 90,40,Positioning
Javi Martínez,Interceptions per 90,61,Defense
Javi Martínez,Shots blocked per 90,51,Defense
Javi Martínez,Fouls per 90,80,Defense
Rodrygo,Passes to final third per 90,26,Buildup
Rodrygo,Progressive passes per 90,1,Buildup
Rodrygo,Lateral passes per 90,24,Positioning
Rodrygo,Long passes per 90,4,Buildup
Rodrygo,Shots per 90,99,Positioning
Rodrygo,Touches in box per 90,100,Chance creation
Rodrygo,Progressive runs per 90,97,Buildup
Rodrygo,Dribbles per 90,95,Chance creation
Rodrygo,Back passes per 90,76,Positioning
Rodrygo,Interceptions per 90,12,Defense
Rodrygo,Shots blocked per 90,46,Defense
Rodrygo,Fouls per 90,25,Defense
Yéremi Pino,Passes to final third per 90,2,Buildup
Yéremi Pino,Progressive passes per 90,2,Buildup
Yéremi Pino,Lateral passes per 90,2,Positioning
Yéremi Pino,Long passes per 90,14,Buildup
Yéremi Pino,Shots per 90,52,Positioning
Yéremi Pino,Touches in box per 90,97,Chance creation
Yéremi Pino,Progressive runs per 90,57,Buildup
Yéremi Pino,Dribbles per 90,69,Chance creation
Yéremi Pino,Back passes per 90,92,Positioning
Yéremi Pino,Interceptions per 90,74,Defense
Yéremi Pino,Shots blocked per 90,46,Defense
Yéremi Pino,Fouls per 90,100,Defense
Gabri Veiga,Passes to final third per 90,64,Buildup
Gabri Veiga,Progressive passes per 90,62,Buildup
Gabri Veiga,Lateral passes per 90,25,Positioning
Gabri Veiga,Long passes per 90,33,Buildup
Gabri Veiga,Shots per 90,89,Positioning
Gabri Veiga,Touches in box per 90,76,Chance creation
Gabri Veiga,Progressive runs per 90,50,Buildup
Gabri Veiga,Dribbles per 90,42,Chance creation
Gabri Veiga,Back passes per 90,3,Positioning
Gabri Veiga,Interceptions per 90,62,Defense
Gabri Veiga,Shots blocked per 90,28,Defense
Gabri Veiga,Fouls per 90,89,Defense
F. Kessié,Passes to final third per 90,15,Buildup
F. Kessié,Progressive passes per 90,3,Buildup
F. Kessié,Lateral passes per 90,70,Positioning
F. Kessié,Long passes per 90,39,Buildup
F. Kessié,Shots per 90,16,Positioning
F. Kessié,Touches in box per 90,72,Chance creation
F. Kessié,Progressive runs per 90,3,Buildup
F. Kessié,Dribbles per 90,9,Chance creation
F. Kessié,Back passes per 90,47,Positioning
F. Kessié,Interceptions per 90,51,Defense
F. Kessié,Shots blocked per 90,88,Defense
F. Kessié,Fouls per 90,87,Defense
T. Lemar,Passes to final third per 90,84,Buildup
T. Lemar,Progressive passes per 90,91,Buildup
T. Lemar,Lateral passes per 90,94,Positioning
T. Lemar,Long passes per 90,82,Buildup
T. Lemar,Shots per 90,14,Positioning
T. Lemar,Touches in box per 90,19,Chance creation
T. Lemar,Progressive runs per 90,60,Buildup
T. Lemar,Dribbles per 90,40,Chance creation
T. Lemar,Back passes per 90,96,Positioning
T. Lemar,Interceptions per 90,19,Defense
T. Lemar,Shots blocked per 90,70,Defense
T. Lemar,Fouls per 90,6,Defense
Álex Baena,Passes to final third per 90,48,Buildup
Álex Baena,Progressive passes per 90,52,Buildup
Álex Baena,Lateral passes per 90,58,Positioning
Álex Baena,Long passes per 90,56,Buildup
Álex Baena,Shots per 90,93,Positioning
Álex Baena,Touches in box per 90,67,Chance creation
Álex Baena,Progressive runs per 90,65,Buildup
Álex Baena,Dribbles per 90,47,Chance creation
Álex Baena,Back passes per 90,43,Positioning
Álex Baena,Interceptions per 90,31,Defense
Álex Baena,Shots blocked per 90,74,Defense
Álex Baena,Fouls per 90,100,Defense
Sergi Darder,Passes to final third per 90,98,Buildup
Sergi Darder,Progressive passes per 90,96,Buildup
Sergi Darder,Lateral passes per 90,77,Positioning
Sergi Darder,Long passes per 90,99,Buildup
Sergi Darder,Shots per 90,13,Positioning
Sergi Darder,Touches in box per 90,4,Chance creation
Sergi Darder,Progressive runs per 90,85,Buildup
Sergi Darder,Dribbles per 90,67,Chance creation
Sergi Darder,Back passes per 90,9,Positioning
Sergi Darder,Interceptions per 90,64,Defense
Sergi Darder,Shots blocked per 90,34,Defense
Sergi Darder,Fouls per 90,19,Defense
Samuel Lino,Passes to final third per 90,6,Buildup
Samuel Lino,Progressive passes per 90,28,Buildup
Samuel Lino,Lateral passes per 90,28,Positioning
Samuel Lino,Long passes per 90,14,Buildup
Samuel Lino,Shots per 90,94,Positioning
Samuel Lino,Touches in box per 90,98,Chance creation
Samuel Lino,Progressive runs per 90,90,Buildup
Samuel Lino,Dribbles per 90,95,Chance creation
Samuel Lino,Back passes per 90,84,Positioning
Samuel Lino,Interceptions per 90,41,Defense
Samuel Lino,Shots blocked per 90,8,Defense
Samuel Lino,Fouls per 90,42,Defense
André Almeida,Passes to final third per 90,97,Buildup
André Almeida,Progressive passes per 90,98,Buildup
André Almeida,Lateral passes per 90,81,Positioning
André Almeida,Long passes per 90,95,Buildup
André Almeida,Shots per 90,8,Positioning
André Almeida,Touches in box per 90,2,Chance creation
André Almeida,Progressive runs per 90,56,Buildup
André Almeida,Dribbles per 90,57,Chance creation
André Almeida,Back passes per 90,34,Positioning
André Almeida,Interceptions per 90,41,Defense
André Almeida,Shots blocked per 90,8,Defense
André Almeida,Fouls per 90,43,Defense
J. Kluivert,Passes to final third per 90,2,Buildup
J. Kluivert,Progressive passes per 90,9,Buildup
J. Kluivert,Lateral passes per 90,16,Positioning
J. Kluivert,Long passes per 90,11,Buildup
J. Kluivert,Shots per 90,89,Positioning
J. Kluivert,Touches in box per 90,91,Chance creation
J. Kluivert,Progressive runs per 90,91,Buildup
J. Kluivert,Dribbles per 90,82,Chance creation
J. Kluivert,Back passes per 90,11,Positioning
J. Kluivert,Interceptions per 90,8,Defense
J. Kluivert,Shots blocked per 90,40,Defense
J. Kluivert,Fouls per 90,60,Defense
Manu Sánchez,Passes to final third per 90,51,Buildup
Manu Sánchez,Progressive passes per 90,91,Buildup
Manu Sánchez,Lateral passes per 90,40,Positioning
Manu Sánchez,Long passes per 90,74,Buildup
Manu Sánchez,Shots per 90,3,Positioning
Manu Sánchez,Touches in box per 90,35,Chance creation
Manu Sánchez,Progressive runs per 90,18,Buildup
Manu Sánchez,Dribbles per 90,22,Chance creation
Manu Sánchez,Back passes per 90,54,Positioning
Manu Sánchez,Interceptions per 90,95,Defense
Manu Sánchez,Shots blocked per 90,88,Defense
Manu Sánchez,Fouls per 90,42,Defense
Iago Aspas,Passes to final third per 90,66,Buildup
Iago Aspas,Progressive passes per 90,24,Buildup
Iago Aspas,Lateral passes per 90,50,Positioning
Iago Aspas,Long passes per 90,52,Buildup
Iago Aspas,Shots per 90,85,Positioning
Iago Aspas,Touches in box per 90,95,Chance creation
Iago Aspas,Progressive runs per 90,42,Buildup
Iago Aspas,Dribbles per 90,26,Chance creation
Iago Aspas,Back passes per 90,56,Positioning
Iago Aspas,Interceptions per 90,4,Defense
Iago Aspas,Shots blocked per 90,21,Defense
Iago Aspas,Fouls per 90,8,Defense
Sergi Roberto,Passes to final third per 90,100,Buildup
Sergi Roberto,Progressive passes per 90,58,Buildup
Sergi Roberto,Lateral passes per 90,93,Positioning
Sergi Roberto,Long passes per 90,56,Buildup
Sergi Roberto,Shots per 90,27,Positioning
Sergi Roberto,Touches in box per 90,35,Chance creation
Sergi Roberto,Progressive runs per 90,67,Buildup
Sergi Roberto,Dribbles per 90,2,Chance creation
Sergi Roberto,Back passes per 90,95,Positioning
Sergi Roberto,Interceptions per 90,86,Defense
Sergi Roberto,Shots blocked per 90,91,Defense
Sergi Roberto,Fouls per 90,64,Defense
Edu Expósito,Passes to final third per 90,72,Buildup
Edu Expósito,Progressive passes per 90,78,Buildup
Edu Expósito,Lateral passes per 90,52,Positioning
Edu Expósito,Long passes per 90,84,Buildup
Edu Expósito,Shots per 90,25,Positioning
Edu Expósito,Touches in box per 90,5,Chance creation
Edu Expósito,Progressive runs per 90,2,Buildup
Edu Expósito,Dribbles per 90,26,Chance creation
Edu Expósito,Back passes per 90,27,Positioning
Edu Expósito,Interceptions per 90,56,Defense
Edu Expósito,Shots blocked per 90,8,Defense
Edu Expósito,Fouls per 90,50,Defense
Aimar Oroz,Passes to final third per 90,40,Buildup
Aimar Oroz,Progressive passes per 90,15,Buildup
Aimar Oroz,Lateral passes per 90,12,Positioning
Aimar Oroz,Long passes per 90,15,Buildup
Aimar Oroz,Shots per 90,15,Positioning
Aimar Oroz,Touches in box per 90,51,Chance creation
Aimar Oroz,Progressive runs per 90,14,Buildup
Aimar Oroz,Dribbles per 90,25,Chance creation
Aimar Oroz,Back passes per 90,78,Positioning
Aimar Oroz,Interceptions per 90,38,Defense
Aimar Oroz,Shots blocked per 90,76,Defense
Aimar Oroz,Fouls per 90,91,Defense
Kike Pérez,Passes to final third per 90,93,Buildup
Kike Pérez,Progressive passes per 90,96,Buildup
Kike Pérez,Lateral passes per 90,86,Positioning
Kike Pérez,Long passes per 90,98,Buildup
Kike Pérez,Shots per 90,63,Positioning
Kike Pérez,Touches in box per 90,18,Chance creation
Kike Pérez,Progressive runs per 90,66,Buildup
Kike Pérez,Dribbles per 90,31,Chance creation
Kike Pérez,Back passes per 90,49,Positioning
Kike Pérez,Interceptions per 90,88,Defense
Kike Pérez,Shots blocked per 90,77,Defense
Kike Pérez,Fouls per 90,98,Defense
T. Bongonda,Passes to final third per 90,5,Buildup
T. Bongonda,Progressive passes per 90,4,Buildup
T. Bongonda,Lateral passes per 90,1,Positioning
T. Bongonda,Long passes per 90,18,Buildup
T. Bongonda,Shots per 90,55,Positioning
T. Bongonda,Touches in box per 90,40,Chance creation
T. Bongonda,Progressive runs per 90,86,Buildup
T. Bongonda,Dribbles per 90,90,Chance creation
T. Bongonda,Back passes per 90,17,Positioning
T. Bongonda,Interceptions per 90,38,Defense
T. Bongonda,Shots blocked per 90,28,Defense
T. Bongonda,Fouls per 90,14,Defense
H. Mendes,Passes to final third per 90,19,Buildup
H. Mendes,Progressive passes per 90,64,Buildup
H. Mendes,Lateral passes per 90,7,Positioning
H. Mendes,Long passes per 90,96,Buildup
H. Mendes,Shots per 90,1,Positioning
H. Mendes,Touches in box per 90,1,Chance creation
H. Mendes,Progressive runs per 90,60,Buildup
H. Mendes,Dribbles per 90,39,Chance creation
H. Mendes,Back passes per 90,3,Positioning
H. Mendes,Interceptions per 90,90,Defense
H. Mendes,Shots blocked per 90,86,Defense
H. Mendes,Fouls per 90,64,Defense
Léo Baptistão,Passes to final third per 90,28,Buildup
Léo Baptistão,Progressive passes per 90,39,Buildup
Léo Baptistão,Lateral passes per 90,20,Positioning
Léo Baptistão,Long passes per 90,52,Buildup
Léo Baptistão,Shots per 90,83,Positioning
Léo Baptistão,Touches in box per 90,78,Chance creation
Léo Baptistão,Progressive runs per 90,40,Buildup
Léo Baptistão,Dribbles per 90,43,Chance creation
Léo Baptistão,Back passes per 90,28,Positioning
Léo Baptistão,Interceptions per 90,79,Defense
Léo Baptistão,Shots blocked per 90,28,Defense
Léo Baptistão,Fouls per 90,82,Defense
Iván Martín,Passes to final third per 90,18,Buildup
Iván Martín,Progressive passes per 90,21,Buildup
Iván Martín,Lateral passes per 90,52,Positioning
Iván Martín,Long passes per 90,9,Buildup
Iván Martín,Shots per 90,19,Positioning
Iván Martín,Touches in box per 90,53,Chance creation
Iván Martín,Progressive runs per 90,30,Buildup
Iván Martín,Dribbles per 90,17,Chance creation
Iván Martín,Back passes per 90,75,Positioning
Iván Martín,Interceptions per 90,17,Defense
Iván Martín,Shots blocked per 90,9,Defense
Iván Martín,Fouls per 90,35,Defense
C. Rodríguez,Passes to final third per 90,92,Buildup
C. Rodríguez,Progressive passes per 90,96,Buildup
C. Rodríguez,Lateral passes per 90,83,Positioning
C. Rodríguez,Long passes per 90,95,Buildup
C. Rodríguez,Shots per 90,11,Positioning
C. Rodríguez,Touches in box per 90,18,Chance creation
C. Rodríguez,Progressive runs per 90,49,Buildup
C. Rodríguez,Dribbles per 90,12,Chance creation
C. Rodríguez,Back passes per 90,33,Positioning
C. Rodríguez,Interceptions per 90,38,Defense
C. Rodríguez,Shots blocked per 90,9,Defense
C. Rodríguez,Fouls per 90,30,Defense
K. Álvarez,Passes to final third per 90,71,Buildup
K. Álvarez,Progressive passes per 90,92,Buildup
K. Álvarez,Lateral passes per 90,26,Positioning
K. Álvarez,Long passes per 90,85,Buildup
K. Álvarez,Shots per 90,6,Positioning
K. Álvarez,Touches in box per 90,12,Chance creation
K. Álvarez,Progressive runs per 90,59,Buildup
K. Álvarez,Dribbles per 90,68,Chance creation
K. Álvarez,Back passes per 90,7,Positioning
K. Álvarez,Interceptions per 90,94,Defense
K. Álvarez,Shots blocked per 90,65,Defense
K. Álvarez,Fouls per 90,53,Defense
A. González,Passes to final third per 90,57,Buildup
A. González,Progressive passes per 90,82,Buildup
A. González,Lateral passes per 90,45,Positioning
A. González,Long passes per 90,44,Buildup
A. González,Shots per 90,53,Positioning
A. González,Touches in box per 90,69,Chance creation
A. González,Progressive runs per 90,37,Buildup
A. González,Dribbles per 90,55,Chance creation
A. González,Back passes per 90,25,Positioning
A. González,Interceptions per 90,92,Defense
A. González,Shots blocked per 90,96,Defense
A. González,Fouls per 90,81,Defense
D. Valdés,Passes to final third per 90,84,Buildup
D. Valdés,Progressive passes per 90,73,Buildup
D. Valdés,Lateral passes per 90,91,Positioning
D. Valdés,Long passes per 90,83,Buildup
D. Valdés,Shots per 90,93,Positioning
D. Valdés,Touches in box per 90,32,Chance creation
D. Valdés,Progressive runs per 90,34,Buildup
D. Valdés,Dribbles per 90,61,Chance creation
D. Valdés,Back passes per 90,16,Positioning
D. Valdés,Interceptions per 90,70,Defense
D. Valdés,Shots blocked per 90,94,Defense
D. Valdés,Fouls per 90,33,Defense
J. Quiñones,Passes to final third per 90,7,Buildup
J. Quiñones,Progressive passes per 90,18,Buildup
J. Quiñones,Lateral passes per 90,23,Positioning
J. Quiñones,Long passes per 90,36,Buildup
J. Quiñones,Shots per 90,76,Positioning
J. Quiñones,Touches in box per 90,92,Chance creation
J. Quiñones,Progressive runs per 90,7,Buildup
J. Quiñones,Dribbles per 90,35,Chance creation
J. Quiñones,Back passes per 90,61,Positioning
J. Quiñones,Interceptions per 90,42,Defense
J. Quiñones,Shots blocked per 90,9,Defense
J. Quiñones,Fouls per 90,85,Defense
Álvaro Fidalgo,Passes to final third per 90,84,Buildup
Álvaro Fidalgo,Progressive passes per 90,42,Buildup
Álvaro Fidalgo,Lateral passes per 90,81,Positioning
Álvaro Fidalgo,Long passes per 90,53,Buildup
Álvaro Fidalgo,Shots per 90,18,Positioning
Álvaro Fidalgo,Touches in box per 90,10,Chance creation
Álvaro Fidalgo,Progressive runs per 90,92,Buildup
Álvaro Fidalgo,Dribbles per 90,47,Chance creation
Álvaro Fidalgo,Back passes per 90,81,Positioning
Álvaro Fidalgo,Interceptions per 90,6,Defense
Álvaro Fidalgo,Shots blocked per 90,83,Defense
Álvaro Fidalgo,Fouls per 90,5,Defense
R. Alvarado,Passes to final third per 90,65,Buildup
R. Alvarado,Progressive passes per 90,76,Buildup
R. Alvarado,Lateral passes per 90,65,Positioning
R. Alvarado,Long passes per 90,77,Buildup
R. Alvarado,Shots per 90,35,Positioning
R. Alvarado,Touches in box per 90,19,Chance creation
R. Alvarado,Progressive runs per 90,66,Buildup
R. Alvarado,Dribbles per 90,50,Chance creation
R. Alvarado,Back passes per 90,19,Positioning
R. Alvarado,Interceptions per 90,75,Defense
R. Alvarado,Shots blocked per 90,9,Defense
R. Alvarado,Fouls per 90,80,Defense
L. Acosta,Passes to final third per 90,80,Buildup
L. Acosta,Progressive passes per 90,74,Buildup
L. Acosta,Lateral passes per 90,73,Positioning
L. Acosta,Long passes per 90,36,Buildup
L. Acosta,Shots per 90,72,Positioning
L. Acosta,Touches in box per 90,75,Chance creation
L. Acosta,Progressive runs per 90,75,Buildup
L. Acosta,Dribbles per 90,94,Chance creation
L. Acosta,Back passes per 90,6,Positioning
L. Acosta,Interceptions per 90,11,Defense
L. Acosta,Shots blocked per 90,9,Defense
L. Acosta,Fouls per 90,89,Defense
S. Córdova,Passes to final third per 90,37,Buildup
S. Córdova,Progressive passes per 90,29,Buildup
S. Córdova,Lateral passes per 90,38,Positioning
S. Córdova,Long passes per 90,71,Buildup
S. Córdova,Shots per 90,81,Positioning
S. Córdova,Touches in box per 90,71,Chance creation
S. Córdova,Progressive runs per 90,65,Buildup
S. Córdova,Dribbles per 90,85,Chance creation
S. Córdova,Back passes per 90,27,Positioning
S. Córdova,Interceptions per 90,50,Defense
S. Córdova,Shots blocked per 90,23,Defense
S. Córdova,Fouls per 90,98,Defense
O. Pineda,Passes to final third per 90,88,Buildup
O. Pineda,Progressive passes per 90,72,Buildup
O. Pineda,Lateral passes per 90,87,Positioning
O. Pineda,Long passes per 90,87,Buildup
O. Pineda,Shots per 90,47,Positioning
O. Pineda,Touches in box per 90,20,Chance creation
O. Pineda,Progressive runs per 90,52,Buildup
O. Pineda,Dribbles per 90,68,Chance creation
O. Pineda,Back passes per 90,23,Positioning
O. Pineda,Interceptions per 90,30,Defense
O. Pineda,Shots blocked per 90,83,Defense
O. Pineda,Fouls per 90,56,Defense
S. Reyes,Passes to final third per 90,2,Buildup
S. Reyes,Progressive passes per 90,36,Buildup
S. Reyes,Lateral passes per 90,2,Positioning
S. Reyes,Long passes per 90,70,Buildup
S. Reyes,Shots per 90,5,Positioning
S. Reyes,Touches in box per 90,10,Chance creation
S. Reyes,Progressive runs per 90,23,Buildup
S. Reyes,Dribbles per 90,39,Chance creation
S. Reyes,Back passes per 90,4,Positioning
S. Reyes,Interceptions per 90,83,Defense
S. Reyes,Shots blocked per 90,65,Defense
S. Reyes,Fouls per 90,14,Defense
O. Fernández,Passes to final third per 90,47,Buildup
O. Fernández,Progressive passes per 90,66,Buildup
O. Fernández,Lateral passes per 90,61,Positioning
O. Fernández,Long passes per 90,49,Buildup
O. Fernández,Shots per 90,22,Positioning
O. Fernández,Touches in box per 90,29,Chance creation
O. Fernández,Progressive runs per 90,78,Buildup
O. Fernández,Dribbles per 90,50,Chance creation
O. Fernández,Back passes per 90,77,Positioning
O. Fernández,Interceptions per 90,17,Defense
O. Fernández,Shots blocked per 90,21,Defense
O. Fernández,Fouls per 90,19,Defense
C. Calderón,Passes to final third per 90,73,Buildup
C. Calderón,Progressive passes per 90,90,Buildup
C. Calderón,Lateral passes per 90,59,Positioning
C. Calderón,Long passes per 90,82,Buildup
C. Calderón,Shots per 90,86,Positioning
C. Calderón,Touches in box per 90,61,Chance creation
C. Calderón,Progressive runs per 90,33,Buildup
C. Calderón,Dribbles per 90,26,Chance creation
C. Calderón,Back passes per 90,29,Positioning
C. Calderón,Interceptions per 90,61,Defense
C. Calderón,Shots blocked per 90,100,Defense
C. Calderón,Fouls per 90,34,Defense
J. Sornoza,Passes to final third per 90,90,Buildup
J. Sornoza,Progressive passes per 90,89,Buildup
J. Sornoza,Lateral passes per 90,95,Positioning
J. Sornoza,Long passes per 90,97,Buildup
J. Sornoza,Shots per 90,55,Positioning
J. Sornoza,Touches in box per 90,7,Chance creation
J. Sornoza,Progressive runs per 90,9,Buildup
J. Sornoza,Dribbles per 90,4,Chance creation
J. Sornoza,Back passes per 90,52,Positioning
J. Sornoza,Interceptions per 90,26,Defense
J. Sornoza,Shots blocked per 90,40,Defense
J. Sornoza,Fouls per 90,40,Defense
J. Campbell,Passes to final third per 90,19,Buildup
J. Campbell,Progressive passes per 90,14,Buildup
J. Campbell,Lateral passes per 90,60,Positioning
J. Campbell,Long passes per 90,25,Buildup
J. Campbell,Shots per 90,77,Positioning
J. Campbell,Touches in box per 90,86,Chance creation
J. Campbell,Progressive runs per 90,96,Buildup
J. Campbell,Dribbles per 90,91,Chance creation
J. Campbell,Back passes per 90,73,Positioning
J. Campbell,Interceptions per 90,1,Defense
J. Campbell,Shots blocked per 90,9,Defense
J. Campbell,Fouls per 90,80,Defense
D. Barbosa,Passes to final third per 90,30,Buildup
D. Barbosa,Progressive passes per 90,80,Buildup
D. Barbosa,Lateral passes per 90,30,Positioning
D. Barbosa,Long passes per 90,81,Buildup
D. Barbosa,Shots per 90,9,Positioning
D. Barbosa,Touches in box per 90,24,Chance creation
D. Barbosa,Progressive runs per 90,34,Buildup
D. Barbosa,Dribbles per 90,52,Chance creation
D. Barbosa,Back passes per 90,3,Positioning
D. Barbosa,Interceptions per 90,82,Defense
D. Barbosa,Shots blocked per 90,9,Defense
D. Barbosa,Fouls per 90,85,Defense
I. Brizuela,Passes to final third per 90,57,Buildup
I. Brizuela,Progressive passes per 90,58,Buildup
I. Brizuela,Lateral passes per 90,81,Positioning
I. Brizuela,Long passes per 90,35,Buildup
I. Brizuela,Shots per 90,28,Positioning
I. Brizuela,Touches in box per 90,30,Chance creation
I. Brizuela,Progressive runs per 90,93,Buildup
I. Brizuela,Dribbles per 90,81,Chance creation
I. Brizuela,Back passes per 90,38,Positioning
I. Brizuela,Interceptions per 90,36,Defense
I. Brizuela,Shots blocked per 90,68,Defense
I. Brizuela,Fouls per 90,19,Defense
A. Mayorga,Passes to final third per 90,69,Buildup
A. Mayorga,Progressive passes per 90,84,Buildup
A. Mayorga,Lateral passes per 90,35,Positioning
A. Mayorga,Long passes per 90,88,Buildup
A. Mayorga,Shots per 90,13,Positioning
A. Mayorga,Touches in box per 90,3,Chance creation
A. Mayorga,Progressive runs per 90,58,Buildup
A. Mayorga,Dribbles per 90,43,Chance creation
A. Mayorga,Back passes per 90,4,Positioning
A. Mayorga,Interceptions per 90,98,Defense
A. Mayorga,Shots blocked per 90,46,Defense
A. Mayorga,Fouls per 90,78,Defense
D. Barbona,Passes to final third per 90,96,Buildup
D. Barbona,Progressive passes per 90,74,Buildup
D. Barbona,Lateral passes per 90,92,Positioning
D. Barbona,Long passes per 90,72,Buildup
D. Barbona,Shots per 90,31,Positioning
D. Barbona,Touches in box per 90,25,Chance creation
D. Barbona,Progressive runs per 90,46,Buildup
D. Barbona,Dribbles per 90,11,Chance creation
D. Barbona,Back passes per 90,71,Positioning
D. Barbona,Interceptions per 90,44,Defense
D. Barbona,Shots blocked per 90,9,Defense
D. Barbona,Fouls per 90,64,Defense
J. Vigón,Passes to final third per 90,50,Buildup
J. Vigón,Progressive passes per 90,20,Buildup
J. Vigón,Lateral passes per 90,65,Positioning
J. Vigón,Long passes per 90,24,Buildup
J. Vigón,Shots per 90,47,Positioning
J. Vigón,Touches in box per 90,46,Chance creation
J. Vigón,Progressive runs per 90,17,Buildup
J. Vigón,Dribbles per 90,35,Chance creation
J. Vigón,Back passes per 90,28,Positioning
J. Vigón,Interceptions per 90,42,Defense
J. Vigón,Shots blocked per 90,51,Defense
J. Vigón,Fouls per 90,74,Defense
M. Salas,Passes to final third per 90,23,Buildup
M. Salas,Progressive passes per 90,10,Buildup
M. Salas,Lateral passes per 90,7,Positioning
M. Salas,Long passes per 90,39,Buildup
M. Salas,Shots per 90,98,Positioning
M. Salas,Touches in box per 90,72,Chance creation
M. Salas,Progressive runs per 90,95,Buildup
M. Salas,Dribbles per 90,89,Chance creation
M. Salas,Back passes per 90,2,Positioning
M. Salas,Interceptions per 90,2,Defense
M. Salas,Shots blocked per 90,34,Defense
M. Salas,Fouls per 90,89,Defense
A. Cruz,Passes to final third per 90,70,Buildup
A. Cruz,Progressive passes per 90,98,Buildup
A. Cruz,Lateral passes per 90,58,Positioning
A. Cruz,Long passes per 90,82,Buildup
A. Cruz,Shots per 90,2,Positioning
A. Cruz,Touches in box per 90,3,Chance creation
A. Cruz,Progressive runs per 90,45,Buildup
A. Cruz,Dribbles per 90,7,Chance creation
A. Cruz,Back passes per 90,43,Positioning
A. Cruz,Interceptions per 90,63,Defense
A. Cruz,Shots blocked per 90,46,Defense
A. Cruz,Fouls per 90,28,Defense
F. Navarro,Passes to final third per 90,31,Buildup
F. Navarro,Progressive passes per 90,80,Buildup
F. Navarro,Lateral passes per 90,76,Positioning
F. Navarro,Long passes per 90,86,Buildup
F. Navarro,Shots per 90,35,Positioning
